Līvbērzes pag. Tušķi|195|710|2|70000
Jelgava|26|581|1|21000
Jaunsvirlaukas pag. Mežciems|300|2800|2|130000
Jelgava|25|600|1|20000
Jelgava|130|1326|1|186000
Jelgava|25|1400|1|20000
Jelgava|50|897|1|95000
Sidrabenes pag. Emburga|110|2500|2|79000
Glūdas pag. Tērvete|55|610|2|54000
Glūdas pag. Viesturi|36|600|1|25000
Jelgava|600|600|1|21000
Glūdas pag. Tērvete|46|6000|1|23000
Jaunsvirlaukas pag. Mežciems|104|12000|1|165000
Elejas pag. Eleja|45|1700|1|25000
Glūdas pag. Viesturi|160|720|2|70000
Jelgava|1245|18000|2|109900
Jelgava|65|300|2|78000
Glūdas pag. Viesturi|50|645|1|23500
Jelgava|140|1284|2|240000
Vircavas pag. Vircava|100|1000|1|12000
Valgundes nov. Valgunde|113|6600|1|128000
Kalnciema l. t. Celmraugciems|180|2180|1|50000
Cenu pag. Iecēni|119|740|1|179000
Kalnciems|60|3000|1|61000
Jelgava|50|600|2|30000
Jelgava|249|1270|2|210000
Glūdas pag. Straume|64|580|2|27000
Jelgava|177|602|2|179000
Valgundes nov. Tīreļi|201|62900|2|249000
Jelgava|15|650|1|9900
Cenu pag. Āne|209|1437|1|235000
Jelgava|37|624|1|67000
Cenu pag. Iecēni|208|2146|2|92000
Glūdas pag. Mežvidi|100|550|2|120000
Jelgava|33|600|1|27500
Jelgava|212|612|2|159000
Jelgava|166|842|2|160000
Jelgava|400|1800|2|250000
Jelgava|359|576|2|149000
Jelgava|150|700|2|189000
Jelgava|174|813|2|173000
Glūdas pag. Viesturi|28|646|1|16000
Jelgava|70|600|2|67000
Glūdas pag. Siliņi|23|600|2|20000
Kalnciems|16|1200|1|15000
Jelgava|140|1962|1|230000
Jelgava|270|1000|2|195000
Līvbērzes pag. Ziedonis|22|1540|1|25000
Glūdas pag. Mežvidi|20|590|1|8000
Cenu pag. Iecēni|140|1600|1|225000
Jelgava|165|1400|1|222000
Jaunsvirlaukas pag. Vecsvirlauka|300|10000|2|25000
Jelgava|480|10000|2|690000
Elejas pag. Eleja|25|800|1|10000
Platones pag. Lielvircava|130|11600|1|60000
Jelgava|240|812|2|65000
Kalnciems|16|630|2|25000
Jelgava|92|1940|1|129000
Jelgava|30|600|1|20000
Zaļenieku pag. Zaļenieki|1552|44690|3|52000
Jelgava|183|1680|2|127000
Jelgava|188|1200|2|225000
Jelgava|155|600|2|104900
Jelgava|877|600|3|245000
Jelgava|173|681|2|189000
Jelgava|110|654|2|60000
Svētes pag. Atpūta|185|826|2|149000
Cenu pag. Āne|172|1790|2|245000
Jelgava|47|800|2|42500
Jelgava|80|800|2|36500
Jelgava|109|1000|2|50000
Jelgava|166|842|2|160000
Jelgava|158|645|2|129000
